report,label,authority
تم الإبلاغ عن تهريب في حي الورد,تهريب,الجمارك
تمت ملاحظة حالة غرق ويجب التحرك في حي الورد,غرق,حرس الحدود
تم الإبلاغ عن بلاغ سلاح في حي الخليج,بلاغ سلاح,الشرطة
بلاغ عن حيوان ضال في حي الفلاح بالقرب من المجمع التجاري,حيوان ضال,البلدية
بلاغ وارد يتضمن حيوان ضال في حي الخليج,حيوان ضال,البلدية
تم رصد غذاء فاسد في منطقة السوق,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الورد,حيوان ضال,البلدية
وجود حيوان ضال وتم طلب التدخل في حي الصحافة,حيوان ضال,البلدية
مواطن يبلغ عن تلوث مياه في حي الفلاح,تلوث مياه,وزارة البيئة
مواطن يبلغ عن حيوان ضال في حي النخيل,حيوان ضال,البلدية
تمت ملاحظة حالة مخالفات تجارية ويجب التحرك في حي الجامعة,مخالفات تجارية,وزارة التجارة
مواطن يبلغ عن ماس كهربائي في حي الخليج,ماس كهربائي,الدفاع المدني
بلاغ عن بلاغ إرهابي في حي الرياض بالقرب من المركز التجاري,بلاغ إرهابي,أمن الدولة
شوهد مواد منتهية عند الحديقة في حي الرياض,مواد منتهية,وزارة التجارة
اشتباه بحدوث تهريب في حي الورد,تهريب,الجمارك
شوهد غرق عند المركز التجاري في حي الخليج,غرق,حرس الحدود
وجود حادثة بحرية وتم طلب التدخل في حي الخليج,حادثة بحرية,حرس الحدود
بلاغ عن بلاغ إرهابي في حي الياسمين بالقرب من المدرسة,بلاغ إرهابي,أمن الدولة
اشتباه بحدوث دهس في حي الخليج,دهس,المرور
اشتباه بحدوث مخالفات تجارية في حي الجامعة,مخالفات تجارية,وزارة التجارة
شوهد غذاء فاسد عند الحديقة في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
شوهد تعطل طريق سريع عند الحديقة في حي الياسمين,تعطل طريق سريع,المرور
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الفلاح,حيوان ضال,البلدية
تمت ملاحظة حالة تهريب ويجب التحرك في حي الصحافة,تهريب,الجمارك
شوهد تهريب عند المسجد في حي الصحافة,تهريب,الجمارك
تمت ملاحظة حالة مخالفات تجارية ويجب التحرك في حي الياسمين,مخالفات تجارية,وزارة التجارة
بلاغ عاجل عن اقتحام منزل الآن في حي الخليج,اقتحام منزل,الشرطة
بلاغ عن مخالفات تجارية في حي الفلاح بالقرب من المنطقة الصناعية,مخالفات تجارية,وزارة التجارة
شوهد بلاغ إرهابي عند الحديقة في حي الرياض,بلاغ إرهابي,أمن الدولة
شوهد حادثة بحرية عند المستشفى في حي النخيل,حادثة بحرية,حرس الحدود
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن انقلاب مركبة في حي السلام بالقرب من المدرسة,انقلاب مركبة,المرور
بلاغ عن تسرب غاز في حي الرياض بالقرب من المنطقة الصناعية,تسرب غاز,الدفاع المدني
بلاغ وارد يتضمن بلاغ إرهابي في حي الصحافة,بلاغ إرهابي,أمن الدولة
بلاغ وارد يتضمن بلاغ سلاح في حي الصحافة,بلاغ سلاح,الشرطة
بلاغ عن غرق في حي الرياض بالقرب من المستشفى,غرق,حرس الحدود
تم رصد مواد منتهية في منطقة المنطقة الصناعية,مواد منتهية,وزارة التجارة
اشتباه بحدوث بلاغ إرهابي في حي الورد,بلاغ إرهابي,أمن الدولة
تم الإبلاغ عن بلاغ إرهابي في حي الفلاح,بلاغ إرهابي,أمن الدولة
بلاغ عن تلوث مياه في حي الفلاح بالقرب من الحديقة,تلوث مياه,وزارة البيئة
مواطن يبلغ عن غذاء فاسد في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
وجود ازدحام مروري وتم طلب التدخل في حي الخليج,ازدحام مروري,المرور
مواطن يبلغ عن تهريب في حي الخليج,تهريب,الجمارك
مواطن يبلغ عن دهس في حي النرجس,دهس,المرور
بلاغ وارد يتضمن فقدان طفل في حي الخليج,فقدان طفل,الشرطة
بلاغ عاجل عن تهريب الآن في حي الرياض,تهريب,الجمارك
اشتباه بحدوث اقتحام منزل في حي النرجس,اقتحام منزل,الشرطة
تمت ملاحظة حالة حادث مروري ويجب التحرك في حي الفلاح,حادث مروري,المرور
مواطن يبلغ عن مخالفات تجارية في حي الصحافة,مخالفات تجارية,وزارة التجارة
بلاغ عن بلاغ سلاح في حي الخليج بالقرب من المجمع التجاري,بلاغ سلاح,الشرطة
بلاغ عاجل عن مشاجرة الآن في حي النخيل,مشاجرة,الشرطة
شوهد احتجاز في مصعد عند المنطقة السكنية في حي النخيل,احتجاز في مصعد,الدفاع المدني
مواطن يبلغ عن سرقة في حي الياسمين,سرقة,الشرطة
اشتباه بحدوث تهريب في حي النرجس,تهريب,الجمارك
مواطن يبلغ عن مخالفات تجارية في حي الصحافة,مخالفات تجارية,وزارة التجارة
مواطن يبلغ عن مخالفات تجارية في حي النرجس,مخالفات تجارية,وزارة التجارة
شوهد بلاغ إرهابي عند المنطقة الصناعية في حي الفلاح,بلاغ إرهابي,أمن الدولة
بلاغ عاجل عن احتجاز في مصعد الآن في حي النخيل,احتجاز في مصعد,الدفاع المدني
تمت ملاحظة حالة تهريب ويجب التحرك في حي الصحافة,تهريب,الجمارك
بلاغ وارد يتضمن سرقة في حي النخيل,سرقة,الشرطة
بلاغ عن تهريب في حي النرجس بالقرب من الطريق السريع,تهريب,الجمارك
تم الإبلاغ عن حادثة بحرية في حي الخليج,حادثة بحرية,حرس الحدود
شوهد مواد منتهية عند المجمع التجاري في حي الخليج,مواد منتهية,وزارة التجارة
مواطن يبلغ عن تلوث مياه في حي الورد,تلوث مياه,وزارة البيئة
مواطن يبلغ عن تلوث مياه في حي الخليج,تلوث مياه,وزارة البيئة
بلاغ عاجل عن احتجاز في مصعد الآن في حي الصحافة,احتجاز في مصعد,الدفاع المدني
بلاغ وارد يتضمن تعطل طريق سريع في حي الفلاح,تعطل طريق سريع,المرور
بلاغ وارد يتضمن ماس كهربائي في حي النرجس,ماس كهربائي,الدفاع المدني
مواطن يبلغ عن غذاء فاسد في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة تهريب ويجب التحرك في حي النرجس,تهريب,الجمارك
بلاغ وارد يتضمن تلوث مياه في حي الياسمين,تلوث مياه,وزارة البيئة
تم رصد بلاغ إرهابي في منطقة السوق,بلاغ إرهابي,أمن الدولة
تم رصد مشاجرة في منطقة المستشفى,مشاجرة,الشرطة
بلاغ وارد يتضمن تلوث مياه في حي الخليج,تلوث مياه,وزارة البيئة
بلاغ عن حادثة بحرية في حي الورد بالقرب من المسجد,حادثة بحرية,حرس الحدود
بلاغ عاجل عن حادثة بحرية الآن في حي الخليج,حادثة بحرية,حرس الحدود
بلاغ عاجل عن غرق الآن في حي الجامعة,غرق,حرس الحدود
وجود غذاء فاسد وتم طلب التدخل في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث حريق في حي الفلاح,حريق,الدفاع المدني
تم رصد مخالفات تجارية في منطقة الطريق السريع,مخالفات تجارية,وزارة التجارة
بلاغ عن سطو مسلح في حي الرياض بالقرب من المستشفى,سطو مسلح,الشرطة
مواطن يبلغ عن ماس كهربائي في حي الفلاح,ماس كهربائي,الدفاع المدني
بلاغ وارد يتضمن غذاء فاسد في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن انقلاب مركبة في حي النخيل,انقلاب مركبة,المرور
بلاغ عن دهس في حي الصحافة بالقرب من المنطقة الصناعية,دهس,المرور
بلاغ وارد يتضمن تهريب في حي النخيل,تهريب,الجمارك
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الياسمين,تلوث مياه,وزارة البيئة
بلاغ عن تسرب غاز في حي الورد بالقرب من المنطقة الصناعية,تسرب غاز,الدفاع المدني
تم الإبلاغ عن سرقة في حي السلام,سرقة,الشرطة
بلاغ عن ازدحام مروري في حي الفلاح بالقرب من السوق,ازدحام مروري,المرور
مواطن يبلغ عن تلوث مياه في حي السلام,تلوث مياه,وزارة البيئة
وجود تهريب وتم طلب التدخل في حي النرجس,تهريب,الجمارك
تم الإبلاغ عن ازدحام مروري في حي الياسمين,ازدحام مروري,المرور
تم رصد حادثة بحرية في منطقة المنطقة السكنية,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن تلوث مياه في حي الخليج,تلوث مياه,وزارة البيئة
مواطن يبلغ عن حادثة بحرية في حي السلام,حادثة بحرية,حرس الحدود
شوهد غرق عند المنطقة الصناعية في حي الرياض,غرق,حرس الحدود
تمت ملاحظة حالة بلاغ إرهابي ويجب التحرك في حي الياسمين,بلاغ إرهابي,أمن الدولة
مواطن يبلغ عن ازدحام مروري في حي الرياض,ازدحام مروري,المرور
بلاغ عاجل عن تهريب الآن في حي الخليج,تهريب,الجمارك
وجود تلوث مياه وتم طلب التدخل في حي النخيل,تلوث مياه,وزارة البيئة
اشتباه بحدوث غذاء فاسد في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
وجود غرق وتم طلب التدخل في حي الفلاح,غرق,حرس الحدود
بلاغ وارد يتضمن تهريب في حي الفلاح,تهريب,الجمارك
شوهد تسرب غاز عند السوق في حي الصحافة,تسرب غاز,الدفاع المدني
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الورد,حيوان ضال,البلدية
اشتباه بحدوث تلوث مياه في حي الرياض,تلوث مياه,وزارة البيئة
وجود مواد منتهية وتم طلب التدخل في حي الياسمين,مواد منتهية,وزارة التجارة
اشتباه بحدوث حيوان ضال في حي الجامعة,حيوان ضال,البلدية
تمت ملاحظة حالة مواد منتهية ويجب التحرك في حي الرياض,مواد منتهية,وزارة التجارة
وجود تهريب وتم طلب التدخل في حي النخيل,تهريب,الجمارك
تم الإبلاغ عن مواد منتهية في حي النرجس,مواد منتهية,وزارة التجارة
بلاغ عاجل عن ماس كهربائي الآن في حي الجامعة,ماس كهربائي,الدفاع المدني
تم الإبلاغ عن تهريب في حي السلام,تهريب,الجمارك
شوهد غذاء فاسد عند المستشفى في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
تم رصد غذاء فاسد في منطقة المنطقة السكنية,غذاء فاسد,هيئة الغذاء والدواء
شوهد ماس كهربائي عند الحديقة في حي الصحافة,ماس كهربائي,الدفاع المدني
بلاغ عاجل عن غذاء فاسد الآن في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
وجود تلوث مياه وتم طلب التدخل في حي النرجس,تلوث مياه,وزارة البيئة
تم رصد انقلاب مركبة في منطقة السوق,انقلاب مركبة,المرور
شوهد تهديد أمني عند المنطقة السكنية في حي النخيل,تهديد أمني,أمن الدولة
شوهد فقدان طفل عند الطريق السريع في حي السلام,فقدان طفل,الشرطة
بلاغ وارد يتضمن غذاء فاسد في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
وجود مشاجرة وتم طلب التدخل في حي الصحافة,مشاجرة,الشرطة
تم رصد غذاء فاسد في منطقة المجمع التجاري,غذاء فاسد,هيئة الغذاء والدواء
تم رصد فقدان طفل في منطقة الحديقة,فقدان طفل,الشرطة
مواطن يبلغ عن تعطل طريق سريع في حي الخليج,تعطل طريق سريع,المرور
بلاغ عن بلاغ إرهابي في حي الورد بالقرب من المركز التجاري,بلاغ إرهابي,أمن الدولة
اشتباه بحدوث تهريب في حي الورد,تهريب,الجمارك
شوهد حيوان ضال عند المدرسة في حي النرجس,حيوان ضال,البلدية
شوهد سطو مسلح عند المنطقة الصناعية في حي الفلاح,سطو مسلح,الشرطة
اشتباه بحدوث تهديد أمني في حي الخليج,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن فقدان طفل في حي الفلاح,فقدان طفل,الشرطة
بلاغ عاجل عن ماس كهربائي الآن في حي الصحافة,ماس كهربائي,الدفاع المدني
بلاغ عن سرقة في حي الخليج بالقرب من المنطقة الصناعية,سرقة,الشرطة
بلاغ وارد يتضمن غذاء فاسد في حي الجامعة,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن مخالفات تجارية في حي النرجس بالقرب من المنطقة الصناعية,مخالفات تجارية,وزارة التجارة
مواطن يبلغ عن تهريب في حي النخيل,تهريب,الجمارك
بلاغ عن حادثة بحرية في حي السلام بالقرب من المنطقة السكنية,حادثة بحرية,حرس الحدود
تم رصد حادث مروري في منطقة المدرسة,حادث مروري,المرور
مواطن يبلغ عن مواد منتهية في حي الصحافة,مواد منتهية,وزارة التجارة
تم الإبلاغ عن مخالفات تجارية في حي النخيل,مخالفات تجارية,وزارة التجارة
تم رصد دهس في منطقة السوق,دهس,المرور
بلاغ عن تسرب غاز في حي الصحافة بالقرب من المسجد,تسرب غاز,الدفاع المدني
شوهد مواد منتهية عند المنطقة السكنية في حي الصحافة,مواد منتهية,وزارة التجارة
وجود تهريب وتم طلب التدخل في حي النخيل,تهريب,الجمارك
مواطن يبلغ عن تسرب غاز في حي النخيل,تسرب غاز,الدفاع المدني
تم رصد بلاغ إرهابي في منطقة المنطقة الصناعية,بلاغ إرهابي,أمن الدولة
بلاغ عن غذاء فاسد في حي الصحافة بالقرب من المنطقة السكنية,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن انقلاب مركبة في حي الرياض,انقلاب مركبة,المرور
بلاغ وارد يتضمن حادث مروري في حي الصحافة,حادث مروري,المرور
بلاغ عن سرقة في حي الجامعة بالقرب من المدرسة,سرقة,الشرطة
بلاغ عاجل عن مواد منتهية الآن في حي الصحافة,مواد منتهية,وزارة التجارة
تم رصد تسرب غاز في منطقة المستشفى,تسرب غاز,الدفاع المدني
وجود تهديد أمني وتم طلب التدخل في حي الرياض,تهديد أمني,أمن الدولة
تم الإبلاغ عن حيوان ضال في حي السلام,حيوان ضال,البلدية
شوهد بلاغ سلاح عند المنطقة الصناعية في حي الياسمين,بلاغ سلاح,الشرطة
اشتباه بحدوث غذاء فاسد في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن تهديد أمني في حي الجامعة,تهديد أمني,أمن الدولة
وجود تهريب وتم طلب التدخل في حي النرجس,تهريب,الجمارك
بلاغ عن غذاء فاسد في حي النخيل بالقرب من السوق,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن ازدحام مروري في حي الياسمين بالقرب من المنطقة السكنية,ازدحام مروري,المرور
مواطن يبلغ عن تهديد أمني في حي الرياض,تهديد أمني,أمن الدولة
شوهد حيوان ضال عند المجمع التجاري في حي النرجس,حيوان ضال,البلدية
مواطن يبلغ عن تلوث مياه في حي السلام,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن حيوان ضال في حي الخليج,حيوان ضال,البلدية
بلاغ عاجل عن بلاغ إرهابي الآن في حي السلام,بلاغ إرهابي,أمن الدولة
تم رصد بلاغ إرهابي في منطقة المدرسة,بلاغ إرهابي,أمن الدولة
تم الإبلاغ عن تهديد أمني في حي الورد,تهديد أمني,أمن الدولة
بلاغ عن غرق في حي الفلاح بالقرب من المنطقة الصناعية,غرق,حرس الحدود
بلاغ عن مشاجرة في حي النخيل بالقرب من المجمع التجاري,مشاجرة,الشرطة
تمت ملاحظة حالة تهريب ويجب التحرك في حي الفلاح,تهريب,الجمارك
تم الإبلاغ عن بلاغ إرهابي في حي الجامعة,بلاغ إرهابي,أمن الدولة
تم رصد دهس في منطقة المستشفى,دهس,المرور
بلاغ وارد يتضمن غذاء فاسد في حي الجامعة,غذاء فاسد,هيئة الغذاء والدواء
تم رصد غذاء فاسد في منطقة السوق,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن دهس في حي الصحافة,دهس,المرور
بلاغ عن تسرب غاز في حي الصحافة بالقرب من المدرسة,تسرب غاز,الدفاع المدني
مواطن يبلغ عن تلوث مياه في حي النرجس,تلوث مياه,وزارة البيئة
بلاغ عن مخالفات تجارية في حي الفلاح بالقرب من المدرسة,مخالفات تجارية,وزارة التجارة
بلاغ عاجل عن تهديد أمني الآن في حي الورد,تهديد أمني,أمن الدولة
شوهد غرق عند السوق في حي الياسمين,غرق,حرس الحدود
بلاغ عاجل عن غذاء فاسد الآن في حي الرياض,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث تهريب في حي الخليج,تهريب,الجمارك
تم رصد غرق في منطقة المركز التجاري,غرق,حرس الحدود
شوهد غذاء فاسد عند المسجد في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن غذاء فاسد في حي الصحافة بالقرب من المنطقة السكنية,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث إزعاج سكني في حي النرجس,إزعاج سكني,الشرطة
اشتباه بحدوث حادث مروري في حي الفلاح,حادث مروري,المرور
شوهد تهريب عند المنطقة الصناعية في حي الورد,تهريب,الجمارك
مواطن يبلغ عن تسرب غاز في حي الورد,تسرب غاز,الدفاع المدني
وجود تلوث مياه وتم طلب التدخل في حي الصحافة,تلوث مياه,وزارة البيئة
بلاغ عن تهريب في حي النرجس بالقرب من المجمع التجاري,تهريب,الجمارك
تمت ملاحظة حالة بلاغ إرهابي ويجب التحرك في حي النخيل,بلاغ إرهابي,أمن الدولة
مواطن يبلغ عن تعطل طريق سريع في حي الجامعة,تعطل طريق سريع,المرور
تم الإبلاغ عن إزعاج سكني في حي الورد,إزعاج سكني,الشرطة
وجود غذاء فاسد وتم طلب التدخل في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن حريق في حي الياسمين,حريق,الدفاع المدني
بلاغ وارد يتضمن مخالفات تجارية في حي النخيل,مخالفات تجارية,وزارة التجارة
بلاغ عن احتجاز في مصعد في حي النرجس بالقرب من الطريق السريع,احتجاز في مصعد,الدفاع المدني
بلاغ وارد يتضمن مخالفات تجارية في حي النخيل,مخالفات تجارية,وزارة التجارة
تم رصد انقلاب مركبة في منطقة المنطقة الصناعية,انقلاب مركبة,المرور
اشتباه بحدوث تلوث مياه في حي الياسمين,تلوث مياه,وزارة البيئة
تم الإبلاغ عن غرق في حي النرجس,غرق,حرس الحدود
تم رصد مشاجرة في منطقة السوق,مشاجرة,الشرطة
شوهد مشاجرة عند المدرسة في حي الجامعة,مشاجرة,الشرطة
تم رصد احتجاز في مصعد في منطقة السوق,احتجاز في مصعد,الدفاع المدني
وجود دهس وتم طلب التدخل في حي الياسمين,دهس,المرور
تمت ملاحظة حالة تهديد أمني ويجب التحرك في حي النخيل,تهديد أمني,أمن الدولة
تم رصد سرقة في منطقة السوق,سرقة,الشرطة
مواطن يبلغ عن غذاء فاسد في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن بلاغ سلاح في حي الورد,بلاغ سلاح,الشرطة
بلاغ عن مواد منتهية في حي الورد بالقرب من المستشفى,مواد منتهية,وزارة التجارة
شوهد تهريب عند الطريق السريع في حي النرجس,تهريب,الجمارك
بلاغ وارد يتضمن تهديد أمني في حي الورد,تهديد أمني,أمن الدولة
تمت ملاحظة حالة حادث مروري ويجب التحرك في حي الياسمين,حادث مروري,المرور
اشتباه بحدوث حيوان ضال في حي الياسمين,حيوان ضال,البلدية
تمت ملاحظة حالة تهريب ويجب التحرك في حي السلام,تهريب,الجمارك
وجود تهريب وتم طلب التدخل في حي الرياض,تهريب,الجمارك
بلاغ عاجل عن ازدحام مروري الآن في حي الصحافة,ازدحام مروري,المرور
بلاغ عن تلوث مياه في حي النخيل بالقرب من المركز التجاري,تلوث مياه,وزارة البيئة
مواطن يبلغ عن تهريب في حي السلام,تهريب,الجمارك
مواطن يبلغ عن تلوث مياه في حي الفلاح,تلوث مياه,وزارة البيئة
بلاغ عاجل عن تهديد أمني الآن في حي السلام,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن تعطل طريق سريع في حي الصحافة,تعطل طريق سريع,المرور
بلاغ عاجل عن انفجار الآن في حي الرياض,انفجار,الدفاع المدني
بلاغ وارد يتضمن بلاغ سلاح في حي الياسمين,بلاغ سلاح,الشرطة
بلاغ عن حادثة بحرية في حي النخيل بالقرب من المسجد,حادثة بحرية,حرس الحدود
شوهد تهديد أمني عند الطريق السريع في حي النخيل,تهديد أمني,أمن الدولة
مواطن يبلغ عن غذاء فاسد في حي الورد,غذاء فاسد,هيئة الغذاء والدواء
تم رصد بلاغ إرهابي في منطقة السوق,بلاغ إرهابي,أمن الدولة
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن حيوان ضال في حي الصحافة بالقرب من المجمع التجاري,حيوان ضال,البلدية
مواطن يبلغ عن غذاء فاسد في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن تهريب في حي الصحافة بالقرب من المنطقة السكنية,تهريب,الجمارك
مواطن يبلغ عن تلوث مياه في حي الورد,تلوث مياه,وزارة البيئة
شوهد غذاء فاسد عند السوق في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث غذاء فاسد في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن حيوان ضال الآن في حي الفلاح,حيوان ضال,البلدية
بلاغ عن إزعاج سكني في حي الجامعة بالقرب من المسجد,إزعاج سكني,الشرطة
تم رصد مواد منتهية في منطقة السوق,مواد منتهية,وزارة التجارة
مواطن يبلغ عن حيوان ضال في حي الصحافة,حيوان ضال,البلدية
تمت ملاحظة حالة غرق ويجب التحرك في حي السلام,غرق,حرس الحدود
بلاغ وارد يتضمن غذاء فاسد في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة مخالفات تجارية ويجب التحرك في حي الرياض,مخالفات تجارية,وزارة التجارة
تم رصد دهس في منطقة المدرسة,دهس,المرور
مواطن يبلغ عن بلاغ إرهابي في حي الجامعة,بلاغ إرهابي,أمن الدولة
شوهد حادثة بحرية عند المجمع التجاري في حي الياسمين,حادثة بحرية,حرس الحدود
تمت ملاحظة حالة انفجار ويجب التحرك في حي الصحافة,انفجار,الدفاع المدني
بلاغ وارد يتضمن تهريب في حي الورد,تهريب,الجمارك
وجود غذاء فاسد وتم طلب التدخل في حي الرياض,غذاء فاسد,هيئة الغذاء والدواء
وجود غذاء فاسد وتم طلب التدخل في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
شوهد مخالفات تجارية عند الحديقة في حي الفلاح,مخالفات تجارية,وزارة التجارة
تم رصد حيوان ضال في منطقة المركز التجاري,حيوان ضال,البلدية
شوهد حادثة بحرية عند المستشفى في حي النخيل,حادثة بحرية,حرس الحدود
اشتباه بحدوث تلوث مياه في حي السلام,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن غذاء فاسد في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة تهريب ويجب التحرك في حي النرجس,تهريب,الجمارك
بلاغ عاجل عن بلاغ إرهابي الآن في حي الورد,بلاغ إرهابي,أمن الدولة
شوهد حريق عند السوق في حي السلام,حريق,الدفاع المدني
بلاغ وارد يتضمن بلاغ إرهابي في حي الرياض,بلاغ إرهابي,أمن الدولة
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الخليج,حيوان ضال,البلدية
تمت ملاحظة حالة بلاغ إرهابي ويجب التحرك في حي السلام,بلاغ إرهابي,أمن الدولة
بلاغ وارد يتضمن تهريب في حي السلام,تهريب,الجمارك
بلاغ وارد يتضمن تلوث مياه في حي الرياض,تلوث مياه,وزارة البيئة
وجود تسرب غاز وتم طلب التدخل في حي الجامعة,تسرب غاز,الدفاع المدني
شوهد تلوث مياه عند المنطقة السكنية في حي الجامعة,تلوث مياه,وزارة البيئة
بلاغ عن تسرب غاز في حي النخيل بالقرب من المدرسة,تسرب غاز,الدفاع المدني
وجود حريق وتم طلب التدخل في حي الجامعة,حريق,الدفاع المدني
بلاغ عاجل عن تهريب الآن في حي النخيل,تهريب,الجمارك
تم رصد حيوان ضال في منطقة السوق,حيوان ضال,البلدية
تم الإبلاغ عن غذاء فاسد في حي الرياض,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن غذاء فاسد الآن في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن تهريب في حي النرجس,تهريب,الجمارك
بلاغ عن غرق في حي السلام بالقرب من المجمع التجاري,غرق,حرس الحدود
اشتباه بحدوث سرقة في حي الياسمين,سرقة,الشرطة
بلاغ عاجل عن فقدان طفل الآن في حي الصحافة,فقدان طفل,الشرطة
اشتباه بحدوث ماس كهربائي في حي الورد,ماس كهربائي,الدفاع المدني
اشتباه بحدوث غذاء فاسد في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن تعطل طريق سريع في حي السلام,تعطل طريق سريع,المرور
شوهد حيوان ضال عند المستشفى في حي الجامعة,حيوان ضال,البلدية
تم رصد احتجاز في مصعد في منطقة المركز التجاري,احتجاز في مصعد,الدفاع المدني
وجود غذاء فاسد وتم طلب التدخل في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
تم رصد انفجار في منطقة المستشفى,انفجار,الدفاع المدني
بلاغ عاجل عن مواد منتهية الآن في حي الياسمين,مواد منتهية,وزارة التجارة
بلاغ وارد يتضمن حيوان ضال في حي الياسمين,حيوان ضال,البلدية
شوهد مخالفات تجارية عند المستشفى في حي الجامعة,مخالفات تجارية,وزارة التجارة
وجود سطو مسلح وتم طلب التدخل في حي النخيل,سطو مسلح,الشرطة
بلاغ عن سطو مسلح في حي النخيل بالقرب من المسجد,سطو مسلح,الشرطة
شوهد احتجاز في مصعد عند المركز التجاري في حي الصحافة,احتجاز في مصعد,الدفاع المدني
بلاغ عاجل عن غذاء فاسد الآن في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن مخالفات تجارية في حي الفلاح,مخالفات تجارية,وزارة التجارة
وجود مخالفات تجارية وتم طلب التدخل في حي الصحافة,مخالفات تجارية,وزارة التجارة
بلاغ عاجل عن تسرب غاز الآن في حي الفلاح,تسرب غاز,الدفاع المدني
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الصحافة,حيوان ضال,البلدية
تمت ملاحظة حالة تهديد أمني ويجب التحرك في حي الخليج,تهديد أمني,أمن الدولة
تم الإبلاغ عن تلوث مياه في حي الجامعة,تلوث مياه,وزارة البيئة
وجود تهريب وتم طلب التدخل في حي الجامعة,تهريب,الجمارك
بلاغ عن ازدحام مروري في حي الصحافة بالقرب من المستشفى,ازدحام مروري,المرور
شوهد مواد منتهية عند المركز التجاري في حي الصحافة,مواد منتهية,وزارة التجارة
بلاغ عن تلوث مياه في حي الياسمين بالقرب من الحديقة,تلوث مياه,وزارة البيئة
وجود حادثة بحرية وتم طلب التدخل في حي الفلاح,حادثة بحرية,حرس الحدود
مواطن يبلغ عن مخالفات تجارية في حي الخليج,مخالفات تجارية,وزارة التجارة
وجود حيوان ضال وتم طلب التدخل في حي النخيل,حيوان ضال,البلدية
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن مخالفات تجارية في حي الرياض,مخالفات تجارية,وزارة التجارة
مواطن يبلغ عن فقدان طفل في حي الفلاح,فقدان طفل,الشرطة
تمت ملاحظة حالة دهس ويجب التحرك في حي الياسمين,دهس,المرور
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الصحافة,تلوث مياه,وزارة البيئة
